run	f1	recall	precision	specifity	runtime	Gesamtanzahl Artikel	Anteil Artikel in Test.tsv zu ges.	Gesamtanzahl Sätze	 Anteil Sätze in Test.tsv zu ges.	Gesamtanzahl Interactions	Anteil Interactions in Test.tsv zu ges.	Gesamtes 0/1 Verhältnis	1/0 Verhältnis test.tsv	1/0 Verhältnis train.tsv	1/0 Verhältnis test/train.tsv
DS-1	0.815	0.81	0.819	0.801	0h 42min 44sek	1806	0.5	2611	0.5006	5549	0.5035	0.8952	0.8968	0.8935	1.0037
DS-10	0.835	0.882	0.792	0.742	0h 41min 44sek	1806	0.5	2611	0.5002	5549	0.4997	0.8952	0.898	0.8923	1.0064
DS-2	0.832	0.885	0.785	0.729	0h 42min 2sek	1806	0.5	2611	0.5029	5549	0.501	0.8952	0.8963	0.894	1.0026
DS-3	0.823	0.841	0.806	0.774	0h 41min 37sek	1806	0.5	2611	0.4971	5549	0.505	0.8952	0.8984	0.8919	1.0073
DS-4	0.82	0.818	0.823	0.803	0h 41min 35sek	1806	0.5	2611	0.4994	5549	0.5032	0.8952	0.8942	0.8961	0.9978
DS-5	0.794	0.791	0.797	0.775	0h 41min 53sek	1806	0.5	2611	0.4975	5549	0.5021	0.8952	0.8952	0.8951	1.0002
DS-6	0.826	0.896	0.765	0.694	0h 41min 34sek	1806	0.5	2611	0.5036	5549	0.5044	0.8952	0.8976	0.8926	1.0056
DS-7	0.827	0.847	0.809	0.777	0h 41min 53sek	1806	0.5	2611	0.5017	5549	0.49700000000000005	0.8952	0.8968	0.8935	1.0037
DS-8	0.81	0.836	0.784	0.743	0h 41min 31sek	1806	0.5	2611	0.4971	5549	0.5033	0.8952	0.8948	0.8955	0.9993
DS-9	0.84	0.899	0.787	0.73	0h 41min 37sek	1806	0.5	2611	0.5021	5549	0.5023	0.8952	0.8985	0.8918	1.0075
Mittelwert	0.822	0.851	0.797	0.757	0h 41min 49sek	1806	0.5	2611	0.5002	5549	0.5021	0.8952	0.8967	0.8936	1.0034
Standardabweichung:	0.013	0.038	0.018	0.035	0h 0min 22sek	0.0	0.0	0.0	0.0024	0.0	0.0024	0.0	0.0015	0.0015	0.0034
