run	f1	recall	precision	specifity	runtime	anzahl rel in test.tsv	davon anzahl der abstracts	anzahl rel in train.tsv	 davon anzahl der abstracts	gesamtanzahl rel	gesamtanzahl Abstracts	anteil test rel an rel ges	1/0 Verhältnis test.tsv	1/0 Verhältnis train.tsv	1/0 Verhältnis test/train.tsv
DS-1	0.802	0.834	0.773	0.726	0h 27min 18sek	4405	2089.0	1142.0	522.0	5547.0	2611.0	0.794	0.894	0.9	0.993
DS-10	0.817	0.899	0.749	0.663	0h 25min 50sek	4430	2089.0	1117.0	522.0	5547.0	2611.0	0.799	0.896	0.89	1.006
DS-2	0.799	0.826	0.773	0.729	0h 26min 1sek	4477	2089.0	1070.0	522.0	5547.0	2611.0	0.807	0.896	0.894	1.003
DS-3	0.796	0.871	0.734	0.647	0h 27min 5sek	4406	2089.0	1141.0	522.0	5547.0	2611.0	0.794	0.894	0.899	0.995
DS-4	0.792	0.812	0.773	0.733	0h 26min 25sek	4443	2089.0	1104.0	522.0	5547.0	2611.0	0.801	0.895	0.9	0.994
DS-5	0.771	0.739	0.806	0.802	0h 26min 19sek	4460	2089.0	1087.0	522.0	5547.0	2611.0	0.804	0.895	0.897	0.998
DS-6	0.789	0.828	0.754	0.697	0h 26min 0sek	4478	2089.0	1069.0	522.0	5547.0	2611.0	0.807	0.895	0.892	1.003
DS-7	0.809	0.824	0.794	0.761	0h 26min 26sek	4448	2089.0	1099.0	522.0	5547.0	2611.0	0.802	0.894	0.901	0.991
DS-8	0.797	0.83	0.766	0.718	0h 25min 50sek	4439	2089.0	1108.0	522.0	5547.0	2611.0	0.8	0.896	0.891	1.006
DS-9	0.805	0.856	0.759	0.696	0h 25min 37sek	4469	2089.0	1078.0	522.0	5547.0	2611.0	0.806	0.894	0.901	0.992
Mittelwert	0.798	0.832	0.768	0.717	0h 26min 17sek	4445.5	2089.0	1101.5	522.0	5547.0	2611.0	0.8014	0.8949	0.8965	0.9981
Standardabweichung:	0.012	0.042	0.021	0.045	0h 0min 33sek	26.4712	0.0	26.4712	0.0	0.0	0.0	0.0048	0.0009	0.0044	0.0059
