run	f1	recall	precision	specifity	runtime	Gesamtanzahl Artikel	Anteil Artikel in Test.tsv zu ges.	Gesamtanzahl Sätze	 Anteil Sätze in Test.tsv zu ges.	Gesamtanzahl Interactions	Anteil Interactions in Test.tsv zu ges.	Gesamtes 0/1 Verhältnis	1/0 Verhältnis test.tsv	1/0 Verhältnis train.tsv	1/0 Verhältnis test/train.tsv
DS-1	0.855	0.875	0.836	0.809	1h 10min 44sek	1806	0.1999	2611	0.2015	5549	0.2018	0.8952	0.8951	0.8952	0.9999
DS-10	0.838	0.89	0.791	0.736	1h 1min 0sek	1806	0.1999	2611	0.1992	5549	0.2015	0.8952	0.8885	0.8968	0.9907
DS-2	0.836	0.838	0.833	0.813	1h 10min 53sek	1806	0.1999	2611	0.1995	5549	0.2015	0.8952	0.8981	0.8944	1.0042
DS-3	0.842	0.895	0.794	0.742	1h 11min 39sek	1806	0.1999	2611	0.1988	5549	0.1982	0.8952	0.8998	0.894	1.0065
DS-4	0.826	0.868	0.788	0.738	1h 12min 0sek	1806	0.1999	2611	0.1992	5549	0.19899999999999998	0.8952	0.8937	0.8955	0.9979
DS-5	0.82	0.854	0.788	0.744	1h 30min 4sek	1806	0.1999	2611	0.2003	5549	0.2015	0.8952	0.8949	0.8952	0.9997
DS-6	0.84	0.864	0.818	0.784	1h 1min 20sek	1806	0.1999	2611	0.1984	5549	0.1984	0.8952	0.8885	0.8968	0.9908
DS-7	0.816	0.823	0.809	0.782	1h 1min 11sek	1806	0.1999	2611	0.198	5549	0.1982	0.8952	0.89	0.8964	0.9929
DS-8	0.837	0.913	0.773	0.698	1h 1min 25sek	1806	0.1999	2611	0.1984	5549	0.1984	0.8952	0.8885	0.8968	0.9908
DS-9	0.831	0.861	0.803	0.766	1h 1min 10sek	1806	0.1999	2611	0.1995	5549	0.2	0.8952	0.9007	0.8938	1.0077
Mittelwert	0.834	0.868	0.803	0.761	1h 8min 8sek	1806	0.1999	2611	0.1993	5549	0.1998	0.8952	0.8938	0.8955	0.9981
Standardabweichung:	0.011	0.027	0.021	0.036	0h 9min 12sek	0.0	0.0	0.0	0.001	0.0	0.0016	0.0	0.0048	0.0012	0.0066
