Gesamtanzahl Artikel:	1806
Anzahl Artikel in Test:	1625
Anzahl Artikel in Train:	181
Anteil von Test an gesamten Artikeln:	0.8998
Gesamtanzahl Sätze:	2611
Anzahl Sätze in Test:	2348
Anzahl Sätze in Train:	263
Anteil von Test an gesamten Sätzen:	0.8993
Gesamtanzahl interactions:	5549
Anzahl Interaktionen in Test:	5027
Anzahl Interaktionen in Train:	522
Anteil von Test an gesamten Interaktionen:	0.9059
Gesamtes 0/1 Verhältnis:	0.8952
0/1 Verhältnis in Test:	0.8948
0/1 Verhältnis in Train:	0.8982
Verhältnis des 0/1 Verhältnis von Test und Train:	0.9963
