run	f1	recall	precision	specifity	runtime	Gesamtanzahl Artikel	Anteil Artikel in Test.tsv zu ges.	Gesamtanzahl Sätze	 Anteil Sätze in Test.tsv zu ges.	Gesamtanzahl Interactions	Anteil Interactions in Test.tsv zu ges.	Gesamtes 0/1 Verhältnis	1/0 Verhältnis test.tsv	1/0 Verhältnis train.tsv	1/0 Verhältnis test/train.tsv
DS-1	0.834	0.85	0.818	0.789	1h 5min 55sek	1806	0.3001	2611	0.3007	5549	0.3026	0.8952	0.8972	0.8943	1.0032
DS-10	0.842	0.852	0.833	0.808	0h 54min 48sek	1806	0.3001	2611	0.3014	5549	0.2992	0.8952	0.895	0.8952	0.9997
DS-2	0.828	0.863	0.796	0.752	1h 1min 42sek	1806	0.3001	2611	0.3003	5549	0.3022	0.8952	0.8928	0.8962	0.9962
DS-3	0.847	0.839	0.854	0.841	0h 54min 50sek	1806	0.3001	2611	0.301	5549	0.2992	0.8952	0.895	0.8952	0.9997
DS-4	0.835	0.856	0.815	0.782	0h 54min 47sek	1806	0.3001	2611	0.2987	5549	0.2997	0.8952	0.8919	0.8965	0.9949
DS-5	0.815	0.867	0.769	0.71	0h 55min 5sek	1806	0.3001	2611	0.3022	5549	0.2984	0.8952	0.8969	0.8944	1.0028
DS-6	0.825	0.865	0.788	0.741	0h 54min 28sek	1806	0.3001	2611	0.3014	5549	0.3013	0.8952	0.8978	0.894	1.0043
DS-7	0.85	0.892	0.811	0.767	0h 54min 59sek	1806	0.3001	2611	0.3007	5549	0.2993	0.8952	0.8896	0.8975	0.9912
DS-8	0.851	0.872	0.83	0.8	0h 54min 41sek	1806	0.3001	2611	0.301	5549	0.2997	0.8952	0.8919	0.8965	0.9949
DS-9	0.835	0.848	0.822	0.795	0h 54min 49sek	1806	0.3001	2611	0.3029	5549	0.3002	0.8952	0.8909999999999999	0.8969	0.9934
Mittelwert	0.836	0.86	0.814	0.778	0h 56min 37sek	1806	0.3001	2611	0.301	5549	0.3002	0.8952	0.8939	0.8957	0.998
Standardabweichung:	0.012	0.015	0.024	0.037	0h 3min 56sek	0.0	0.0	0.0	0.0011	0.0	0.0014	0.0	0.0029	0.0012	0.0045
