Gesamtanzahl Artikel:	1806
Anzahl Artikel in Test:	1625
Anzahl Artikel in Train:	181
Anteil von Test an gesamten Artikeln:	0.8998
Gesamtanzahl Sätze:	2611
Anzahl Sätze in Test:	2356
Anzahl Sätze in Train:	255
Anteil von Test an gesamten Sätzen:	0.9023
Gesamtanzahl interactions:	5549
Anzahl Interaktionen in Test:	4988
Anzahl Interaktionen in Train:	561
Anteil von Test an gesamten Interaktionen:	0.8989
Gesamtes 0/1 Verhältnis:	0.8952
0/1 Verhältnis in Test:	0.8959
0/1 Verhältnis in Train:	0.8889
Verhältnis des 0/1 Verhältnis von Test und Train:	1.0078
