run	f1	recall	precision	specifity	runtime
DS-1	0.789	0.779	0.799	0.781	0h 35min 13sek
DS-10	0.804	0.815	0.794	0.764	0h 34min 37sek
DS-2	0.806	0.838	0.777	0.73	0h 34min 52sek
DS-3	0.817	0.806	0.827	0.811	0h 34min 38sek
DS-4	0.819	0.888	0.76	0.687	0h 34min 58sek
DS-5	0.806	0.873	0.748	0.671	0h 34min 46sek
DS-6	0.814	0.838	0.792	0.755	0h 34min 34sek
DS-7	0.788	0.843	0.739	0.666	0h 35min 6sek
DS-8	0.808	0.818	0.799	0.77	0h 34min 25sek
DS-9	0.805	0.804	0.807	0.784	0h 34min 26sek
Mittelwert	0.806	0.83	0.784	0.742	0h 34min 46sek
Standardabweichung:	0.01	0.033	0.028	0.051	0h 0min 16sek
